Name,CO,C1CCOCC1,C1=CC=NC=C1,CS,C1CCOC1,C[NH3+],C,C1CC1,C#C,CC,[NH4+],CF,C1CCCC1,C[O-],C=C,[NH2+]=O,CBr,C=O,C1=CC=CC=C1,N,NN,[NH3+][O-],CN,CCl,ExpperMGS
D-gluconamide,5,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,52.5
N-Methyl-gluconamide,5,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,2,0,102.5
N-Ethyl-gluconamide,5,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,2,0,104.3
N-Propyl-gluconamide,5,0,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,2,0,87.3
N-Butyl-gluconamide,5,0,0,0,0,0,5,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,2,0,22.7
N-Pentyl-gluconamide,5,0,0,0,0,0,5,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,2,0,12.4
N-Hexyl-gluconamide,5,0,0,0,0,0,5,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,2,0,5.9
N-Heptyl-gluconamide,5,0,0,0,0,0,5,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,2,0,18.5
N-Nonyl-gluconamide,5,0,0,0,0,0,5,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,2,0,8.6
4-Methoxyphenyl β-D-xylopyranoside,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,47.1
Glucitol,6,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.3
Galactitol,6,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.9
"N-[5-hydroxy-6-(hydroxymethyl)-2-(4-methoxyphenoxy)-4-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-3-yl]acetamide",12,2,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,2,0,50.6
"2-[3,5-dihydroxy-2-(hydroxymethyl)-6-(4-methoxyphenoxy)oxan-4-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",13,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,77.8
"2-[3,5-dihydroxy-2-(hydroxymethyl)-6-(4-methoxyphenoxy)oxan-4-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",13,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,64.7
"2-[[3,5-dihydroxy-6-(4-methoxyphenoxy)-4-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",18,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,59.1
N-4-(Trifluoromethyl)phenyl-D-gluconamide,5,0,0,0,0,0,6,0,0,6,0,3,0,0,0,0,0,1,1,0,0,0,2,0,27.5
N-4-Methylphenyl-D-gluconamide,5,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,1,1,0,0,0,2,0,5.8
N-3-(Trifluoromethyl)benzyl-D-gluconamide,5,0,0,0,0,0,6,0,0,7,0,3,0,0,0,0,0,1,1,0,0,0,2,0,79.9
N-4-(Trifluoromethyl)benzyl-D-gluconamide,5,0,0,0,0,0,6,0,0,7,0,3,0,0,0,0,0,1,1,0,0,0,2,0,19.8
N-2-Hydroxyphenyl-D-gluconamide,6,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,1,1,0,0,0,2,0,29.7
N-3-(Trifluoromethyl)phenyl-D-gluconamide,5,0,0,0,0,0,6,0,0,6,0,3,0,0,0,0,0,1,1,0,0,0,2,0,86.4
N-4-(Trifluoromethoxy)phenyl-D-gluconamide,7,0,0,0,0,0,6,0,0,5,0,3,0,0,0,0,0,1,1,0,0,0,2,0,14.2
"N-2,5-(Dichloro)phenyl-D-gluconamide",5,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,1,1,0,0,0,2,2,45.5
N-2-Methylbenzyl-D-gluconamide,5,0,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,1,1,0,0,0,2,0,44.3
N-4-(Trifluoromethoxy)benzyl-D-gluconamide,7,0,0,0,0,0,6,0,0,6,0,3,0,0,0,0,0,1,1,0,0,0,2,0,23.2
N-2-(Trifluoromethoxy)benzyl-D-gluconamide,7,0,0,0,0,0,6,0,0,6,0,3,0,0,0,0,0,1,1,0,0,0,2,0,61
N-2-Chlorophenyl-D-gluconamide,5,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,1,1,0,0,0,2,1,99.9
N-4-Chlorophenyl-D-gluconamide,5,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,1,1,0,0,0,2,1,34.5
N-4-Chlorobenzyl-D-gluconamide,5,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,1,1,0,0,0,2,1,6.8
N-2-Methylphenyl-D-gluconamide,5,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,1,1,0,0,0,2,0,90
"N-2,6-Dimethylphenyl-D-gluconamide",5,0,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,1,1,0,0,0,2,0,32.1
"N-2,5-Dimethylphenyl-D-gluconamide",5,0,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,1,1,0,0,0,2,0,84.2
D-Galactose,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.8
D-Glucose,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.4
D-Mannose,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.9
D-Talose,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87
D-Melibiose,10,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.1
D-Lactose,10,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.2
D-Trehalose,10,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.1
D-Maltose,10,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.4
D-Sucrose,10,1,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
