Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
4-methoxybenzyl ß-d-glucopyranoside,2.91187,1133.08971,-1.22,-0.9883,300.1209,1.33333,0.21085,0.57143,4,7,0.41378,29.85774,14.67423,5.04124,0.96504,0.57143,-1.22,0.00094,4.19491,7.16766,3.70472,0.26212,0.92558,0,1,1,0,1,0,1,7,4,7,1,7,4,2,10,0,1,1,1.06056,986.77291,0.31505,108.61
n-(4-methoxyphenyl)-1-ß-d-glucopyranoside,3.01584,1075.5768,-1.38,-1.093,285.12124,1.45,0.21082,0.53846,5,7,0.50254,28.3967,13.91041,4.83021,0.97806,0.53846,-1.38,0.0013,3.87585,6.38,3.02382,0.20834,0.91247,0,1,1,0,1,0,1,7,5,7,1,7,5,2,9,0,1,1,0.80447,702.43072,0.19728,111.41
4-methoxyphenyl-1-thio-ß-d-glucopyranoside,2.91993,1043.19662,-0.83,-0.4128,302.08241,1.4,0.21076,0.53846,4,6,0.33746,27.35774,13.42423,5.60774,0.95047,0.53846,-0.83,0.0008,4.34398,6.75028,3.24942,0.31083,0.83757,0,1,1,0,1,0,1,7,4,7,1,6,4,2,9,0,1,1,0.94724,1051.2059,0.26335,99.38
"1,4-bis-(ß-d-glucopyranosyl)benzene",2.65853,1479.78711,-1.18,-3.2836,402.1526,0.71429,0.21074,0.66667,8,10,0.59996,39.08248,19.21548,6.94949,0.98686,0.66667,-1.18,0.00077,5.94967,8.67494,3.80708,0.16159,0.98825,0,2,2,0,1,0,1,10,8,10,2,10,8,3,12,0,2,2,1.18125,1287.28727,0.25907,180.3
"1,4-bis-(ß-d-galactopyranosyl)benzene",2.65853,1479.78711,-1.18,-3.2836,402.1526,0.71429,0.21074,0.66667,8,10,0.63785,39.08248,19.21548,6.94949,0.98968,0.66667,-1.18,0.00084,5.94967,8.67494,3.80708,0.14327,0.99109,0,2,2,0,1,0,1,10,8,10,2,10,8,3,12,0,2,2,1.00702,1185.74947,0.20439,180.3
1-o-(ß-d-glucopyranosyl)-4-o-(ß-d-galactopyranosyl)benzene,2.65853,1479.78711,-1.18,-3.2836,402.1526,0.71429,0.21074,0.66667,8,10,0.6459,39.08248,19.21548,6.94949,0.99024,0.66667,-1.18,0.00086,5.94967,8.67494,3.80708,0.13934,0.98944,0,2,2,0,1,0,1,10,8,10,2,10,8,3,12,0,2,2,1.12303,1144.31989,0.22466,180.3
"1,3-bis-(ß-d-glucopyranosyl)benzene",2.7542,1512.78711,-1.18,-3.2836,402.1526,0.78571,0.21074,0.66667,8,10,0.35612,39.08248,19.21548,6.94949,0.95428,0.66667,-1.18,0.00051,5.94967,8.67494,3.80708,0.2989,0.89052,0,2,2,0,1,0,1,10,8,10,2,10,8,3,12,0,2,2,1.22374,1733.06832,0.32757,180.3
6-o-(4-methoxyphenyl)-d-glucopyranoside,2.81833,1045.05491,-1.38,-1.1261,286.10525,1.25,0.21346,0.53846,4,7,0.62285,27.35774,13.42423,4.79124,0.98904,0.53846,-1.38,0.00158,4.08464,6.38,3.19599,0.14768,0.93677,0,1,1,0,1,0,1,7,4,7,1,7,4,2,9,0,1,1,0.8465,594.73006,0.16805,108.61
(4-pyridinyl) β-d-glucopyranoside,2.9329,896.5629,-1.25,-1.7397,257.08994,1.38889,0.22872,0.54545,4,7,0.41247,23.3967,11.4632,4.33021,0.96523,0.54545,-1.25,0.00141,3.87394,5.59389,2.60001,0.26141,0.9008,0,1,1,0,0,1,1,7,4,7,2,7,4,2,7,0,1,1,0.82374,637.67552,0.27848,112.27
4-methoxyphenyl-6-o-(α-d-galactopyranosyl) β-d-glucopyranoside,2.4763,1733.28354,-1.58,-3.3019,448.15808,0.90323,0.22872,0.68421,7,12,0.5636,42.39898,20.82785,7.47011,0.98429,0.68421,-1.58,0.00055,6.73016,10.35773,5.2586,0.17658,0.92992,0,2,2,0,1,0,1,12,7,12,2,12,7,3,15,0,2,2,0.97411,1691.57607,0.18972,187.76
4-methoxyphenyl-6-o-(α-d-glucopyranosyl) ß-d-glucopyranoside,2.4763,1733.28354,-1.58,-3.3019,448.15808,0.90323,0.22872,0.68421,7,12,0.18025,42.39898,20.82785,7.47011,0.887,0.68421,-1.58,0.00022,6.73016,10.35773,5.2586,0.46177,0.73413,0,2,2,0,1,0,1,12,7,12,2,12,7,3,15,0,2,2,1.13717,3335.97316,0.27765,187.76
4-methoxyphenyl-6-o-(ß-d-glucopyranosyl) ß-d-glucopyranoside,2.4763,1733.28354,-1.58,-3.3019,448.15808,0.90323,0.22872,0.68421,7,12,0.6433,42.39898,20.82785,7.47011,0.99008,0.68421,-1.58,0.0007,6.73016,10.35773,5.2586,0.14048,0.98807,0,2,2,0,1,0,1,12,7,12,2,12,7,3,15,0,2,2,1.22492,1420.22347,0.23373,187.76
4-methoxyphenyl-4-o-(ß-d-galactopyranosyl) ß-d-glucopyranoside,2.55322,1727.28354,-1.58,-3.3019,448.15808,0.90323,0.22872,0.68421,7,12,0.47348,42.39898,20.82785,7.47011,0.97378,0.68421,-1.58,0.00047,6.73016,10.35773,5.09146,0.2275,0.95383,0,2,2,0,1,0,1,12,7,12,2,12,7,3,15,0,2,2,1.19231,2036.5291,0.27475,187.76
2-amino β-d-galactopyranoside,3.01199,1015.08689,-1.38,-1.5525,271.10559,1.42105,0.22884,0.5,6,7,0.428,25.8967,12.63402,4.6066,0.96815,0.5,-1.38,0.00119,3.83601,5.72238,2.79987,0.25039,0.8414,0,1,1,0,1,0,1,7,5,7,1,7,6,2,8,0,1,1,0.72306,704.67297,0.16558,125.4
